SUBUNIT-OF-CPLX	ABC transporter permease	R6879_000074-MONOMER
SUBUNIT-OF-CPLX	ABC transporter permease	R6879_000075-MONOMER
SUBUNIT-OF-CPLX	ATP-binding cassette domain-containing protein	R6879_000077-MONOMER
##	
CPLX-PRE-EXISTING	ABC transporter	CPLX2SBR-19
SUBUNIT-OF-CPLX	ABC transporter ATP-binding protein	R6879_000912-MONOMER
SUBUNIT-OF-CPLX	ABC transporter permease	R6879_000914-MONOMER
SUBUNIT-OF-CPLX	sugar ABC transporter permease	R6879_000913-MONOMER
##	
CPLX-PRE-EXISTING	ABC transporter	CPLX2SBR-20
SUBUNIT-OF-CPLX	ABC transporter ATP-binding protein	R6879_000704-MONOMER
SUBUNIT-OF-CPLX	ABC transporter ATP-binding protein	R6879_000705-MONOMER
##	
CPLX-PRE-EXISTING	ABC transporter	CPLX2SBR-13
SUBUNIT-OF-CPLX	ABC transporter ATP-binding protein	R6879_000889-MONOMER
SUBUNIT-OF-CPLX	ABC transporter permease	R6879_000890-MONOMER
##	
CPLX-PRE-EXISTING	ABC transporter	CPLX2SBR-16
SUBUNIT-OF-CPLX	ABC transporter ATP-binding protein	R6879_000466-MONOMER
SUBUNIT-OF-CPLX	ABC transporter ATP-binding protein	R6879_000467-MONOMER
##	
CPLX-PRE-EXISTING	ATP-binding cassette domain-containing	CPLX2SBR-23
SUBUNIT-OF-CPLX	ATP-binding cassette domain-containing protein	R6879_000590-MONOMER
SUBUNIT-OF-CPLX	sugar ABC transporter permease	R6879_000591-MONOMER
##	
CPLX-PRE-EXISTING	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase	CPLX2SBR-5
SUBUNIT-OF-CPLX	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	R6879_000847-MONOMER
SUBUNIT-OF-CPLX	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	R6879_000849-MONOMER
##	
CPLX-PRE-EXISTING	DNA polymerase III	CPLX2SBR-2
SUBUNIT-OF-CPLX	DNA polymerase III subunit alpha	R6879_000140-MONOMER
SUBUNIT-OF-CPLX	DNA polymerase III subunit beta	R6879_000897-MONOMER
SUBUNIT-OF-CPLX	DNA polymerase III subunit delta	R6879_000532-MONOMER
SUBUNIT-OF-CPLX	DNA polymerase III subunit delta'	R6879_000795-MONOMER
SUBUNIT-OF-CPLX	DNA polymerase III subunit gamma/tau	R6879_000799-MONOMER
##	
CPLX-PRE-EXISTING	DNA topoisomerase IV	CPLX2SBR-9
SUBUNIT-OF-CPLX	DNA topoisomerase IV subunit A	R6879_000160-MONOMER
SUBUNIT-OF-CPLX	DNA topoisomerase IV subunit B	R6879_000159-MONOMER
##	
CPLX-PRE-EXISTING	DNA-directed RNA polymerase	CPLX2SBR-6
SUBUNIT-OF-CPLX	DNA-directed RNA polymerase subunit alpha	R6879_000606-MONOMER
SUBUNIT-OF-CPLX	DNA-directed RNA polymerase subunit beta	R6879_000712-MONOMER
SUBUNIT-OF-CPLX	DNA-directed RNA polymerase subunit beta'	R6879_000711-MONOMER
##	
CPLX-PRE-EXISTING	F0F1 ATP synthase	CPLX2SBR-4
SUBUNIT-OF-CPLX	ATP F0F1 synthase subunit alpha	R6879_000511-MONOMER
SUBUNIT-OF-CPLX	F0F1 ATP synthase subunit beta	R6879_000510-MONOMER
##	
CPLX-PRE-EXISTING	F0F1 ATP synthase	CPLX2SBR-3
SUBUNIT-OF-CPLX	ATP synthase F0 subunit C	R6879_000417-MONOMER
SUBUNIT-OF-CPLX	ATP synthase F1 subunit delta	R6879_000415-MONOMER
SUBUNIT-OF-CPLX	ATP synthase F1 subunit gamma	R6879_000413-MONOMER
SUBUNIT-OF-CPLX	F0F1 ATP synthase subunit A	R6879_000418-MONOMER
SUBUNIT-OF-CPLX	F0F1 ATP synthase subunit B	R6879_000416-MONOMER
SUBUNIT-OF-CPLX	F0F1 ATP synthase subunit alpha	R6879_000414-MONOMER
SUBUNIT-OF-CPLX	F0F1 ATP synthase subunit beta	R6879_000412-MONOMER
##	
CPLX-PRE-EXISTING	PTS sugar transporter	CPLX2SBR-24
SUBUNIT-OF-CPLX	PTS sugar transporter subunit IIA	R6879_000738-MONOMER
SUBUNIT-OF-CPLX	PTS sugar transporter subunit IIB	R6879_000739-MONOMER
##	
CPLX-PRE-EXISTING	excinuclease ABC	CPLX2SBR-8
SUBUNIT-OF-CPLX	excinuclease ABC subunit UvrA	R6879_000387-MONOMER
SUBUNIT-OF-CPLX	excinuclease ABC subunit UvrB	R6879_000388-MONOMER
##	
CPLX-PRE-EXISTING	phenylalanine--tRNA ligase	CPLX2SBR-1
SUBUNIT-OF-CPLX	phenylalanine--tRNA ligase subunit alpha	R6879_000036-MONOMER
SUBUNIT-OF-CPLX	phenylalanine--tRNA ligase subunit beta	R6879_000038-MONOMER
##	
CPLX-PRE-EXISTING	preprotein translocase	CPLX2SBR-26
SUBUNIT-OF-CPLX	preprotein translocase subunit SecA	R6879_000291-MONOMER
SUBUNIT-OF-CPLX	preprotein translocase subunit SecE	R6879_000006-MONOMER
SUBUNIT-OF-CPLX	preprotein translocase subunit SecG	R6879_000198-MONOMER
SUBUNIT-OF-CPLX	preprotein translocase subunit SecY	R6879_000613-MONOMER
##	
CPLX-PRE-EXISTING	restriction endonuclease	CPLX2SBR-25
SUBUNIT-OF-CPLX	restriction endonuclease subunit S	R6879_000662-MONOMER
SUBUNIT-OF-CPLX	restriction endonuclease subunit S	R6879_000664-MONOMER
SUBUNIT-OF-CPLX	restriction endonuclease subunit S	R6879_000667-MONOMER
##	
CPLX-PRE-EXISTING	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex	CPLX2SBR-7
SUBUNIT-OF-CPLX	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	R6879_000455-MONOMER
SUBUNIT-OF-CPLX	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	R6879_000453-MONOMER
##	
##	
####	 5 Polypeptides containing PTS- and subunit-related words, but with no suitable grouping or were pruned from a group.
##	The columns are:
## Protein ID	Common Name	
##	
R6879_000740-MONOMER	PTS ascorbate transporter subunit IIC	
R6879_000738-MONOMER	PTS sugar transporter subunit IIA	
R6879_000739-MONOMER	PTS sugar transporter subunit IIB	
R6879_000260-MONOMER	PTS transporter subunit EIIB	
R6879_000451-MONOMER	PTS transporter subunit EIIB	
##	
####	 12 Polypeptides containing subunit-related words, but with no matching sibling subunits.
##	The columns are:
## Protein ID	Canonicalized core string used for matching	Common Name
##	
R6879_000067-MONOMER	2oxoaciddehydrogenase	2-oxo acid dehydrogenase subunit E2
R6879_000492-MONOMER	abcthreecomponentsystem	ABC-three component system middle component 6
R6879_000065-MONOMER	alphaketoaciddehydrogenase	alpha-ketoacid dehydrogenase subunit beta
R6879_000411-MONOMER	atpsynthasedeltaepsilonchainalphahelixdomaincontaining	ATP synthase delta/epsilon chain alpha-helix domain-containing protein
R6879_000592-MONOMER	carbohydrateabctransporter	carbohydrate ABC transporter permease
R6879_000660-MONOMER	dnagyrase	DNA gyrase subunit A
R6879_000872-MONOMER	dnatopoisomerase	DNA topoisomerase subunit B
R6879_000602-MONOMER	energycouplingfactortransportertrans	energy-coupling factor transporter transmembrane component T
R6879_000025-MONOMER	ribonucleasep	ribonuclease P protein component
R6879_000202-MONOMER	ribosomesmallsubunitdependentgtpase	ribosome small subunit-dependent GTPase A
R6879_000851-MONOMER	smcscpcomplex	SMC-Scp complex subunit ScpB
R6879_000668-MONOMER	typeirestrictionmodificationsystem	type I restriction-modification system subunit M
